id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2992450,https://www.airbnb.com/rooms/2992450,20251005230129,2025-10-05,city scrape,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,https://www.airbnb.com/users/show/4621559,Kenneth,2013-01-07,"New York, NY",I am a real down to earth & cool person.,N/A,N/A,50%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,,THIRD WARD,,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Carbon monoxide alarm"", ""Air conditioning"", ""Essentials"", ""Heating"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""TV with standard cable""]",$93.00,28,1125,28,28,1125,1125,28.0,1125.0,,t,0,0,0,188,2025-10-05,9,0,0,0,0,0,0,2014-07-01,2022-08-17,3.56,3.44,3.56,4.22,4.56,3.22,3.67,,f,1,1,0,0,0.07
3820211,https://www.airbnb.com/rooms/3820211,20251005230129,2025-10-06,city scrape,Funky Urban Gem: Prime Central Location - Parking!,"Step into the charming and comfy 1BR/1BA apartment in the heart of Albany, NY. It promises a relaxing retreat bordering picturesque Washington Park and funky Lark Street while being within walking distance to the vibrant downtown, which offers easy access to restaurants, shops, and exciting attractions.<br /><br />The lovely design and the prime location will leave you in awe.<br /><br />✔ Comfy Queen Bedroom<br />✔ Open Design Living<br />✔ Fully Equipped Kitchen<br />✔ Smart TV<br />✔ High-Speed Wi-Fi<br />✔ Free Parking<br /><br />See more below!","Overview<br /><br />The lovely apartment is located in the Hudson/Park neighborhood in the heart of Albany, which stands out as one of the city's most vibrant and walkable urban enclaves. Bordered by the lush expanse of Washington Park and the eclectic energy of Lark Street, our local offers an unbeatable blend of historic charm, city convenience, and cultural flair.<br /><br />Here, you'll be able to easily visit the scenic trails and gardens of Washington Park, the lively shops, cafes, and restaurants of Lark Street, and the city's downtown core. The New York State Capitol, Albany Medical Center, Albany Law School, and SUNY Albany are all within easy walking distance, making the neighborhood a perfect home base for students, professionals, and urban explorers.<br /><br />Just a block from Washington Park, Lark Street pulses with creativity and energy. Known as Albany's ""Greenwich Village,"" it's lined with independent shops, coffeehouses, art galleries, and restaurants representing cu",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/26f1d5a0-1afa-41c8-85eb-dc87ee2bb738.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,"Albany, NY","Hello! I’m a proud resident of Albany, NY, where i both live and work With a background in real estate and management, I bring years of expertise to hosting and caring for my own property here in Albany. In addition to managing vacation rentals, I also own a Japanese restaurant, so hospitality and guest satisfaction are at the heart of everything I do.

I look forward to welcoming you to Albany and sharing the best of the city with you!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/8ca5d0ce-dbd2-4cef-9a11-086c758cd7ba.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/8ca5d0ce-dbd2-4cef-9a11-086c758cd7ba.jpeg?aki_policy=profile_x_medium,Center Square & Hudson/Park,5,5,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,3,1.0,1 bath,2,1,"[""HDTV with standard cable, Apple TV"", ""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Microwave"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Smart lock"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Toaster"", ""Shampoo"", ""Clothing storage"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Stove"", ""Coffee"", ""Central air conditioning"", ""Freezer"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",$91.00,2,1125,2,3,1125,1125,2.8,1125.0,,t,30,49,79,354,2025-10-06,311,6,0,76,15,36,3276,2014-08-15,2025-08-04,4.74,4.88,4.87,4.85,4.81,4.81,4.77,,f,5,5,0,0,2.29
5651579,https://www.airbnb.com/rooms/5651579,20251005230129,2025-10-06,city scrape,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment","The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,2,"[""Wine glasses"", ""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""TV"", ""Toaster"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Ceiling fan"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",$64.00,2,45,1,2,1125,1125,1.3,1125.0,,t,0,0,12,12,2025-10-06,373,5,1,10,38,30,1920,2015-05-08,2025-09-15,4.52,4.62,4.45,4.81,4.88,4.76,4.64,,f,2,1,1,0,2.94
6623339,https://www.airbnb.com/rooms/6623339,20251005230129,2025-10-05,city scrape,Cozy City Stay · Free Parking + Walkable Location,"Step into the charming and comfy 1BR/1BA apartment in the heart of Albany, NY. It offers a relaxing retreat bordering picturesque Washington Park and funky Lark Street, all within walking distance to the vibrant downtown—featuring easy access to restaurants, cafes, shops, and exciting attractions.<br /><br />The tasteful design and unbeatable location are sure to impress.<br /><br />✔ Comfy Queen Bedroom<br />✔ Open Design Living<br />✔ Fully Equipped Kitchen<br />✔ Smart TV<br />✔ High-Speed Wi-Fi<br />✔ Free Parking<br /><br />See more below!","Overview<br /><br />The lovely apartment is located in the Hudson/Park neighborhood in the heart of Albany, which stands out as one of the city's most vibrant and walkable urban enclaves. Bordered by the lush expanse of Washington Park and the eclectic energy of Lark Street, our local offers an unbeatable blend of historic charm, city convenience, and cultural flair.<br /><br />Here, you'll be able to easily visit the scenic trails and gardens of Washington Park, the lively shops, cafes, and restaurants of Lark Street, and the city's downtown core. The New York State Capitol, Albany Medical Center, Albany Law School, and SUNY Albany are all within easy walking distance, making the neighborhood a perfect home base for students, professionals, and urban explorers.<br /><br />Just a block from Washington Park, Lark Street pulses with creativity and energy. Known as Albany's ""Greenwich Village,"" it's lined with independent shops, coffeehouses, art galleries, and restaurants representing cu",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/d271d757-7362-4f3d-bc2b-e6b5ee12766f.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,"Albany, NY","Hello! I’m a proud resident of Albany, NY, where i both live and work With a background in real estate and management, I bring years of expertise to hosting and caring for my own property here in Albany. In addition to managing vacation rentals, I also own a Japanese restaurant, so hospitality and guest satisfaction are at the heart of everything I do.

I look forward to welcoming you to Albany and sharing the best of the city with you!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/8ca5d0ce-dbd2-4cef-9a11-086c758cd7ba.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/8ca5d0ce-dbd2-4cef-9a11-086c758cd7ba.jpeg?aki_policy=profile_x_medium,Center Square & Hudson/Park,5,5,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Kitchen"", ""Dining table"", ""Self check-in"", ""TV with standard cable"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""Shampoo"", ""Free parking on premises"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Stove"", ""Freezer"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",$95.00,2,1125,1,3,1125,1125,2.7,1125.0,,t,0,30,60,335,2025-10-05,332,4,0,58,22,24,2280,2015-06-07,2025-06-30,4.73,4.83,4.71,4.83,4.7,4.8,4.72,,f,5,5,0,0,2.64
9005989,https://www.airbnb.com/rooms/9005989,20251005230129,2025-10-05,city scrape,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater","There are many shops, restaurants, bars, museums, and concert venues within walking distance of the apartment! The City’s largest park, Washington Park, is less than one block away!  Many State offices and Government buildings are also in close proximity.",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,17766924,https://www.airbnb.com/users/show/17766924,Sugey,2014-07-07,"Albany, NY","",N/A,N/A,100%,t,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Portable fans"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""TV"", ""Conditioner"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Hair dryer"", ""Pack \u2019n play/Travel crib""]",$89.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,246,2025-10-05,623,25,0,0,31,150,13350,2016-08-07,2025-08-03,4.79,4.86,4.82,4.95,4.93,4.87,4.77,,f,1,1,0,0,5.58
9501054,https://www.airbnb.com/rooms/9501054,20251005230129,2025-10-06,city scrape,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.","The place is located in the Historic Mansion neighborhood . It""s  a great mix of people , close to everything there is to see and do in downtown Albany. Walk to the Governors Mansion, The new Capital Center Convention Center, The Times Union Center for entertainment , and all sorts of culinary delights. Plenty of brew pubs and Italian restaurants",https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1,2,"[""Heating"", ""Private entrance"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Portable fans"", ""Essentials"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Microwave"", ""Wifi"", ""Self check-in"", ""TV with standard cable"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge""]",$60.00,1,60,1,1,1125,1125,1.0,1125.0,,t,10,38,67,242,2025-10-06,434,38,2,64,42,228,13680,2016-02-02,2025-10-03,4.57,4.72,4.52,4.84,4.86,4.77,4.68,,f,2,1,1,0,3.68
10768745,https://www.airbnb.com/rooms/10768745,20251005230129,2025-10-06,city scrape,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,,https://a0.muscache.com/pictures/hosting/Hosting-10768745/original/20b04600-3c69-432b-9a22-f10701cdb82d.jpeg,5691268,https://www.airbnb.com/users/show/5691268,Elizabeth,2013-03-30,"Albany, NY",I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,within an hour,100%,93%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,f,,FOURTEENTH WARD,,42.66078,-73.80553,Private room in guest suite,Private room,1,1.0,1 private bath,1,1,"[""Heating"", ""Refrigerator"", ""Essentials"", ""Lockbox"", ""Single level home"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Wifi"", ""Self check-in"", ""Ethernet connection"", ""TV with standard cable"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Window AC unit"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",$47.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,13,38,68,157,2025-10-06,845,132,8,65,128,255,11985,2016-02-05,2025-09-27,4.83,4.89,4.79,4.93,4.88,4.93,4.91,,f,2,0,2,0,7.18
11253948,https://www.airbnb.com/rooms/11253948,20251005230129,2025-10-05,city scrape,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!","The super convenient area is one of the big selling points for this house.   <br /><br />On the South side of Western we have in order from East to West:<br />V Salon, All Saints Catholic Church, CVS, Dragon City Restaurant, Torino Pizza & Pasta, Mani de Leo Hair Salon, Fiorello Bakery & Deli, Courtney's Salon, DC's Pizza, Maggie's Sports Bar & Cafe, Roman Jewels, Pixie Hair Salon, Barcelona Restaurant-Wine Bar, KeyBank, CityLine Bar and Grill, Escape Smoke Shop, Best Western Hotel, Casa Real Mexican Restaurant, Days Inn, Dunkin Donuts, Across the Street Pub and Restaurant, Starbucks.<br /><br />On the North side of Western we have in order from East to West:<br />Sunoco Gas, University Plaza (Rite Aid, PizzaHut, DiBella's Subs, Boston Market, Wine & Liquor, Uncommon Grounds Coffee & Bagels, Pet Supplies Plus, Subway, Mobile Gas, Mobile Mart), University of Albany, Miami Sun Tanning.<br /><br />Best Western Hotel and a Days Inn are less than a 7min walk from the house so any additional",https://a0.muscache.com/pictures/f0e43651-0834-4cbd-9d7d-72ef465a316d.jpg,4259750,https://www.airbnb.com/users/show/4259750,Peter,2012-11-27,"Albany, NY","I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, biohacking and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,Pine Hills,8,13,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3,4,"[""Books and reading material"", ""Hot water"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Shampoo"", ""Free parking on premises"", ""Outlet covers"", ""Barbecue utensils"", ""Sonos sound system with Bluetooth and aux"", ""Hair dryer"", ""GE stainless steel gas stove"", ""Game console"", ""Private entrance"", ""Coffee maker"", ""Stainless steel oven"", ""Garden view"", ""Portable fans"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Microwave"", ""Bed linens"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Clothing storage: walk-in closet and wardrobe"", ""Carbon monoxide alarm"", ""Baby bath"", ""Laundromat nearby"", ""Sun loungers"", ""BBQ grill"", ""Indoor fireplace: gas"", ""Room-darkening shades"", ""Ceiling fan"", ""Outdoor dining area"", ""Cleaning available during stay"", ""Blender"", ""Luggage dropoff allowed"", ""Babysitter recommendations"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Private backyard \u2013 Not fully fenced"", ""Safe"", ""Refrigerator"", ""Dishwasher"", ""Baby safety gates"", ""Outdoor furniture"", ""Keypad"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed"", ""Pets allowed"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Coffee"", ""Rice maker"", ""Drying rack for clothing"", ""High chair"", ""Board games"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""Fire pit"", ""Wine glasses"", ""Bathtub"", ""Heating"", ""Dishes and silverware"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Window AC unit"", ""Body soap"", ""Freezer"", ""Free street parking"", ""Iron"", ""Private patio or balcony""]",$227.00,1,1124,1,2,1124,1124,1.3,1124.0,,t,18,41,71,346,2025-10-05,209,45,0,69,34,255,57885,2016-05-29,2025-09-03,4.96,4.93,4.98,4.99,4.97,4.94,4.87,,f,8,8,0,0,1.83
11639446,https://www.airbnb.com/rooms/11639446,20251005230129,2025-10-05,city scrape,$55twin($30 foreign student)FreeBF Noa/c no smoke,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",One block away to unique organic honest weigh Co Op<br />One block away to shop rite<br />One block away to Central Avenue<br />Street parking,https://a0.muscache.com/pictures/1129f67c-dfb2-4a2c-bb1d-914a3245d600.jpg,61700428,https://www.airbnb.com/users/show/61700428,Abdullah,2016-03-05,"Albany, NY","Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",within a few hours,100%,0%,f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,ELEVENTH WARD,,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0,1,"[""Heating"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware"", ""Safe"", ""Refrigerator"", ""Free dryer \u2013 In building"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Microwave"", ""Hot water"", ""Host greets you"", ""Kitchen"", ""Free washer \u2013 In building"", ""Wifi"", ""Gas stove"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Shampoo"", ""First aid kit"", ""Breakfast"", ""Hangers"", ""Smoke alarm"", ""Free street parking"", ""Hair dryer""]",$56.00,15,112,15,15,112,112,15.0,112.0,,t,29,59,89,364,2025-10-05,231,0,0,87,2,0,0,2016-05-31,2024-02-29,4.81,4.87,4.37,4.94,4.96,4.52,4.87,,f,2,0,2,0,2.03
12799126,https://www.airbnb.com/rooms/12799126,20251005230129,2025-10-05,city scrape,Private Room in the Hearth of the Albany,,"It's perfect location for any kind of events, there are bars around house,restaurants, market right next to us, bus stop and moreover",https://a0.muscache.com/pictures/3e656127-d8e2-4743-a405-1b91d81c4dc7.jpg,69729286,https://www.airbnb.com/users/show/69729286,Musab,2016-05-01,"Albany, NY","",within an hour,100%,71%,f,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_x_medium,Capitol Hill,2,2,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65154,-73.76867,Private room in rental unit,Private room,1,1.0,1 shared bath,1,2,"[""Bathtub"", ""HDTV with Netflix"", ""Heating"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Shared patio or balcony"", ""Cooking basics"", ""Essentials"", ""Single level home"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Host greets you"", ""Cleaning products"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Exercise equipment"", ""Dryer"", ""Stove"", ""Trash compactor"", ""Freezer"", ""Bidet"", ""Blender"", ""Barbecue utensils"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",$47.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,0,3,33,308,2025-10-05,29,1,0,31,1,10,470,2020-08-23,2025-08-09,4.83,4.9,4.59,4.83,4.9,4.72,4.76,,f,2,0,2,0,0.47
